link,address,dealer,price,beds,baths,area
https://www.zillow.com/homedetails/5872-S-Logan-St-Centennial-CO-80121/13151044_zpid/,"5872 S Logan Street, Centennial, CO 80121","MLS ID #3796214, REALTY ONE GROUP PREMIER COLORADO","$1,250,000",4,3,"2,194"
https://www.zillow.com/homedetails/73-Onawa-Rd-Red-Feather-Lakes-CO-80545/13853899_zpid/,"73 Onawa Way, Red Feather Lakes, CO 80545","PONDEROSA REALTY ASSOCIATES, Lon C. Hughes","$149,000",4,3,"2,194"
https://www.zillow.com/homedetails/1300-S-Parker-Rd-APT-201-Denver-CO-80231/13045033_zpid/,"1300 S Parker Road  Unit 201, Denver, CO 80231","MLS ID #5326522, CHAMPION REALTY","$49,900",1,1,625
https://www.zillow.com/homedetails/6623-Thistlewood-St-Colorado-Springs-CO-80923/69307488_zpid/,"6623 Thistlewood St, Colorado Springs, CO 80923",THE CUTTING EDGE,"$535,000",1,1,625
https://www.zillow.com/homedetails/191-Boulder-Dr-Craig-CO-81625/104589105_zpid/,"191 Boulder Dr, Craig, CO 81625",COUNTRY LIVING REALTY,"$120,000",1,1,625
https://www.zillow.com/homedetails/1500-E-5th-Ave-Denver-CO-80218/13345732_zpid/,"1500 E 5th Avenue, Denver, CO 80218","MLS ID #1586333, MILEHIMODERN","$1,995,000",1,1,625
https://www.zillow.com/homedetails/24001-Highway-84-Chromo-CO-81128/442698537_zpid/,"24001 Highway 84, Chromo, CO 81128",,"$1,999,900",1,1,625
https://www.zillow.com/homedetails/1716-14th-Ave-Greeley-CO-80631/14073777_zpid/,"1716 14th Ave, Greeley, CO 80631","GROUP LOVELAND, Chad Brent","$375,000",1,1,625
https://www.zillow.com/homedetails/20405-Thunder-Rd-E-Colorado-Springs-CO-80908/13534233_zpid/,"20405 Thunder Rd E, Colorado Springs, CO 80908","RE/MAX ADVANTAGE REALTY, INC.","$780,000",1,1,625
https://www.zillow.com/homedetails/1650-Chester-St-Aurora-CO-80010/54891322_zpid/,"1650 Chester Street, Aurora, CO 80010","MLS ID #6657618, IDEAL REALTY LLC","$187,500",1,1,625
https://www.zillow.com/homedetails/667-S-Raleigh-St-Denver-CO-80219/13360765_zpid/,"667 S Raleigh Street, Denver, CO 80219","MLS ID #1933815, KELLER WILLIAMS ADVANTAGE REALTY LLC","$365,000",2,1,657
https://www.zillow.com/homedetails/14330-Highway-83-Colorado-Springs-CO-80921/61633765_zpid/,"14330 Highway 83, Colorado Springs, CO 80921",LIV SOTHEBY'S INTERNATIONAL REALTY CO SPRINGS,"$699,000",2,1,657
https://www.zillow.com/homedetails/1758-Eagle-St-APT-C-Aurora-CO-80011/63242281_zpid/,"1758 Eagle Street  Unit C, Aurora, CO 80011","MLS ID #1855776, BLACK & WHITE REALTY, LLC","$170,000",2,1,657
https://www.zillow.com/homedetails/2381-N-Elmira-St-Aurora-CO-80010/405458124_zpid/,"2381 N Elmira Street, Aurora, CO 80010","MLS ID #6245359, HOMESMART","$350,000",2,1,657
https://www.zillow.com/homedetails/LOT-117-Ridge-Rd-Walsenburg-CO-81089/2054729657_zpid/,"LOT 117 Ridge Rd, Walsenburg, CO 81089",COLDWELL BANKER REALTY,"$84,900",2,1,657
https://www.zillow.com/homedetails/2193-Arapahoe-St-APT-5-Denver-CO-80205/71719665_zpid/,"2193 Arapahoe Street  Unit 5, Denver, CO 80205","MLS ID #4855056, KELLER WILLIAMS INTEGRITY REAL ESTATE LLC","$300,000",2,1,657
https://www.zillow.com/homedetails/7775-Grizzly-Bear-Point-LOT-292-Colorado-Springs-CO-80922/181734150_zpid/,"7775 Grizzly Bear Point LOT 292, Colorado Springs, CO 80922",HOMESMART,"$190,000",2,1,657
